Тип объекта,Имя регистра,Вид поля,Поле,Синоним,Тип,Подсказка,В итогах,Проверка заполнения,XML путь
Регистр сведений,СостоянияПоОбъектамУчетаЭДО,Реквизит,Дата,Дата,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияПоОбъектамУчетаЭДО.xml
Регистр сведений,СостоянияПоОбъектамУчетаЭДО,Реквизит,Номер,Номер,; xs:string,,,DontCheck,InformationRegisters/СостоянияПоОбъектамУчетаЭДО.xml
Регистр сведений,СостоянияПоОбъектамУчетаЭДО,Реквизит,СуммаДокумента,Сумма документа,; xs:decimal,,,DontCheck,InformationRegisters/СостоянияПоОбъектамУчетаЭДО.xml
Регистр сведений,СостоянияПоОбъектамУчетаЭДО,Реквизит,Контрагент,Контрагент,; cfg:DefinedType.УчастникЭДО,,,DontCheck,InformationRegisters/СостоянияПоОбъектамУчетаЭДО.xml
Регистр сведений,СостоянияПоОбъектамУчетаЭДО,Реквизит,Организация,Организация,; cfg:DefinedType.Организация,,,DontCheck,InformationRegisters/СостоянияПоОбъектамУчетаЭДО.xml
Регистр сведений,СостоянияПравилВизуализацииЦентраЭДО,Измерение,ИдентификаторПравила,Идентификатор правила,; xs:string,,,DontCheck,InformationRegisters/СостоянияПравилВизуализацииЦентраЭДО.xml
Регистр сведений,СостоянияПравилВизуализацииЦентраЭДО,Ресурс,ДатаОбновления,Дата обновления,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияПравилВизуализацииЦентраЭДО.xml
Регистр сведений,СостоянияПредметовВзаимодействий,Измерение,Предмет,Предмет,; cfg:DefinedType.ПредметВзаимодействия,Предмет взаимодействий.,,ShowError,InformationRegisters/СостоянияПредметовВзаимодействий.xml
Регистр сведений,СостоянияПредметовВзаимодействий,Ресурс,КоличествоНеРассмотрено,Количество не рассмотрено,; xs:decimal,Количество нерассмотренных взаимодействий.,,DontCheck,InformationRegisters/СостоянияПредметовВзаимодействий.xml
Регистр сведений,СостоянияПредметовВзаимодействий,Ресурс,ДатаПоследнегоВзаимодействия,Дата последнего взаимодействия,; xs:dateTime,Дата последнего взаимодействия по предмету.,,DontCheck,InformationRegisters/СостоянияПредметовВзаимодействий.xml
Регистр сведений,СостоянияПредметовВзаимодействий,Ресурс,Активен,Активен,; xs:boolean,Признак активности предмета.,,DontCheck,InformationRegisters/СостоянияПредметовВзаимодействий.xml
Регистр сведений,СостоянияПроверокВеденияУчета,Измерение,Проверка,Проверка,; cfg:CatalogRef.ПравилаПроверкиУчета,,,DontCheck,InformationRegisters/СостоянияПроверокВеденияУчета.xml
Регистр сведений,СостоянияПроверокВеденияУчета,Ресурс,ПоследнийЗапуск,Последний запуск,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияПроверокВеденияУчета.xml
Регистр сведений,СостоянияРассылокОтчетов,Измерение,Рассылка,Рассылка,; cfg:CatalogRef.РассылкиОтчетов,,,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияРассылокОтчетов,Ресурс,ПоследнийЗапускНачало,Последний запуск (начало),; xs:dateTime,Дата начала последнего запуска рассылки отчетов,,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияРассылокОтчетов,Ресурс,ПоследнийЗапускЗавершение,Последний запуск (завершение),; xs:dateTime,Дата завершения последнего запуска рассылки отчетов,,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияРассылокОтчетов,Ресурс,УспешныйЗапуск,Успешный запуск,; xs:dateTime,Начало последнего успешного запуска рассылки,,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияРассылокОтчетов,Ресурс,Выполнена,Выполнена,; xs:boolean,"Признак того, что рассылка завершена",,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияРассылокОтчетов,Ресурс,СОшибками,С ошибками,; xs:boolean,"Признак того, что рассылка завершена с ошибками",,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияРассылокОтчетов,Ресурс,НомерСеанса,Номер сеанса,; xs:decimal,"Номер сеанса, в котором выполнялся запуск рассылки (для отбора событий в журнале регистрации)",,DontCheck,InformationRegisters/СостоянияРассылокОтчетов.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Измерение,ИдентификаторЭДО,Идентификатор ЭДО,; xs:string,Уникальный идентификатор участника в обмене электронными документами,,ShowError,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Измерение,ТипДанных,Тип данных,; cfg:EnumRef.ТипыСинхронизацииСЦентромЭДО,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Измерение,ИдентификаторОбъекта,Идентификатор объекта,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Ресурс,МеткаВремени,Метка времени,; xs:decimal,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Ресурс,ДатаСинхронизации,Дата синхронизации,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Ресурс,КоличествоПопыток,Количество попыток,; xs:decimal,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Ресурс,Ошибка,Ошибка,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииОбъектовСЦентромЭДО,Ресурс,ОписаниеОшибки,Описание ошибки,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииОбъектовСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииСЦентромЭДО,Измерение,ИдентификаторЭДО,Идентификатор ЭДО,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииСЦентромЭДО,Измерение,ТипСинхронизации,Тип синхронизации,; cfg:EnumRef.ТипыСинхронизацииСЦентромЭДО,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииСЦентромЭДО,Ресурс,МеткаВремени,Метка времени,; xs:decimal,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСЦентромЭДО.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Измерение,ТипСинхронизации,Тип синхронизации,; cfg:EnumRef.ТипыСинхронизацииСервисДоставки,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Измерение,ТипГрузоперевозки,Тип грузоперевозки,; cfg:EnumRef.ТипыГрузоперевозки,,,ShowError,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Измерение,ОрганизацияБизнесСети,Организация бизнес сети,; cfg:DefinedType.Организация,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Измерение,ШагЗагрузки,Шаг загрузки,; cfg:EnumRef.ШагиСинхронизацииСервисДоставки,,,ShowError,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Ресурс,ДатаПоследнегоИзменения,Дата последнего изменения,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Ресурс,Состояние,Состояние,; cfg:EnumRef.СостоянияСинхронизацииСервисДоставки,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Ресурс,АктивныйСеансИД,Активный сеанс ИД,; v8:UUID,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Реквизит,ДатаРегистрации,Дата регистрации,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Реквизит,УдалитьИдентификаторДокумента,Удалить идентификатор документа,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисДоставки,Реквизит,ИдентификаторДокумента,Идентификатор документа,; v8:UUID,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисДоставки.xml
Регистр сведений,СостоянияСинхронизацииСервисНастроекЭДО,Измерение,ТипСинхронизации,Тип синхронизации,; cfg:EnumRef.ТипыСинхронизацииСервисаНастроекЭДО,,,ShowError,InformationRegisters/СостоянияСинхронизацииСервисНастроекЭДО.xml
Регистр сведений,СостоянияСинхронизацииСервисНастроекЭДО,Ресурс,ДатаПоследнегоИзменения,Дата последнего изменения,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисНастроекЭДО.xml
Регистр сведений,СостоянияСинхронизацииСервисНастроекЭДО,Ресурс,ДатаПоследнейПроверки,Дата последней проверки,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСинхронизацииСервисНастроекЭДО.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Измерение,ТорговоеПредложение,Торговое предложение,; cfg:DefinedType.ТорговоеПредложение,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Измерение,Организация,Организация,; cfg:DefinedType.Организация,"Организация, подключенная в сервисе 1С:Бизнес-сеть",,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Ресурс,ДатаСинхронизации,Дата синхронизации,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Ресурс,Состояние,Состояние,; cfg:EnumRef.СостоянияСинхронизацииТорговыеПредложения,,,ShowError,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Ресурс,ДействиеСинхронизации,Действие синхронизации,; cfg:EnumRef.ДействияСинхронизацииТорговыеПредложения,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Ресурс,Идентификатор,Идентификатор,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Ресурс,Отключено,Отключено,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Ресурс,Хеш,Хеш,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ОписаниеОшибки,Описание ошибки,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,АдресЭлектроннойПочты,E-mail,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ДополнительноеОписание,Дополнительное описание условий продажи,; xs:string,Описание условий продаж. Отображается в карточке торгового предложения.,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ВыгружатьКартинки,Выгружать картинки,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьЦены,Публиковать цены,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьСрокиПоставки,Публиковать сроки поставки,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьОстатки,Публиковать остатки,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,КоличествоОпубликованных,Количество опубликованных,; xs:decimal,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьРегионыДоступностиТоваров,Публиковать регионы доступности товаров,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,РегионыДоставки,Регионы доставки,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,РегионыСамовывоза,Регионы самовывоза,; xs:string,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ВариантПубликацииОстатков,Вариант публикации остатков,; cfg:EnumRef.ВариантыПубликацииОстатковТорговыеПредложения,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьСкидкиЗаРазовыйОбъемПродаж,Публиковать скидки за разовый объем продаж,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьЦенуДоСкидки,Публиковать цену до скидки,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ВариантПубликацииСкидкиЗаОпт,Вариант публикации скидок за опт,; cfg:EnumRef.ВариантыПубликацииСкидок,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ВариантПубликацииСкидки,Вариант публикации скидки,; cfg:EnumRef.ВариантыПубликацииСкидок,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСинхронизацииТорговыеПредложения,Реквизит,ПубликоватьКратностьУпаковок,Публиковать кратность упаковок,; xs:boolean,,,DontCheck,InformationRegisters/СостоянияСинхронизацииТорговыеПредложения.xml
Регистр сведений,СостоянияСогласованияВДокументообороте,Измерение,ИдентификаторОбъектаДО,Идентификатор объекта 1С:Документооборота,; xs:string,,,DontCheck,InformationRegisters/СостоянияСогласованияВДокументообороте.xml
Регистр сведений,СостоянияСогласованияВДокументообороте,Ресурс,Состояние,Состояние,; cfg:EnumRef.СостоянияСогласованияВДокументообороте,,,DontCheck,InformationRegisters/СостоянияСогласованияВДокументообороте.xml
Регистр сведений,СостоянияСогласованияВДокументообороте,Реквизит,Установил,Установил,; xs:string,,,DontCheck,InformationRegisters/СостоянияСогласованияВДокументообороте.xml
Регистр сведений,СостоянияСогласованияВДокументообороте,Реквизит,ДатаУстановки,Дата установки,; xs:dateTime,,,DontCheck,InformationRegisters/СостоянияСогласованияВДокументообороте.xml
Регистр сведений,СостоянияУспешныхОбменовДанными,Измерение,УзелИнформационнойБазы,Узел информационной базы,; cfg:ExchangePlanRef,"Узел плана обмена, для которого используется информация состояния обмена.",,DontCheck,InformationRegisters/СостоянияУспешныхОбменовДанными.xml
Регистр сведений,СостоянияУспешныхОбменовДанными,Измерение,ДействиеПриОбмене,Действие при обмене,; cfg:EnumRef.ДействияПриОбмене,"Действие, для которого используется информация состояния обмена (выгрузка/загрузка данных).",,DontCheck,InformationRegisters/СостоянияУспешныхОбменовДанными.xml
Регистр сведений,СостоянияУспешныхОбменовДанными,Ресурс,ДатаОкончания,Дата окончания,; xs:dateTime,Дата окончания выполнения успешного действия обмена данными.,,DontCheck,InformationRegisters/СостоянияУспешныхОбменовДанными.xml
Регистр сведений,СостоянияУспешныхОбменовДаннымиОбластейДанных,Измерение,УзелИнформационнойБазы,Узел информационной базы,; cfg:ExchangePlanRef,"Узел плана обмена, для которого используется информация состояния обмена.",,DontCheck,InformationRegisters/СостоянияУспешныхОбменовДаннымиОбластейДанных.xml
Регистр сведений,СостоянияУспешныхОбменовДаннымиОбластейДанных,Измерение,ДействиеПриОбмене,Действие при обмене,; cfg:EnumRef.ДействияПриОбмене,"Действие, для которого используется информация состояния обмена (выгрузка/загрузка данных).",,DontCheck,InformationRegisters/СостоянияУспешныхОбменовДаннымиОбластейДанных.xml
Регистр сведений,СостоянияУспешныхОбменовДаннымиОбластейДанных,Ресурс,ДатаОкончания,Дата окончания,; xs:dateTime,Дата окончания выполнения успешного действия обмена данными.,,DontCheck,InformationRegisters/СостоянияУспешныхОбменовДаннымиОбластейДанных.xml
Регистр сведений,СотрудникиМагазинов,Измерение,Сотрудник,Сотрудник,; cfg:CatalogRef.ФизическиеЛица,,,ShowError,InformationRegisters/СотрудникиМагазинов.xml
Регистр сведений,СотрудникиМагазинов,Измерение,Склад,Склад,; cfg:CatalogRef.Склады,,,ShowError,InformationRegisters/СотрудникиМагазинов.xml
Регистр сведений,СотрудникиМагазинов,Ресурс,Курьер,Курьер,; xs:boolean,,,DontCheck,InformationRegisters/СотрудникиМагазинов.xml
Регистр сведений,СотрудникиМагазинов,Ресурс,Сборщик,Сборщик,; xs:boolean,,,DontCheck,InformationRegisters/СотрудникиМагазинов.xml
Регистр сведений,СотрудникиМагазинов,Ресурс,Диспетчер,Диспетчер,; xs:boolean,,,DontCheck,InformationRegisters/СотрудникиМагазинов.xml
Регистр сведений,СпискиОтзываСертификатов,Измерение,АдресВнутренний,Адрес внутренний,; xs:string,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СпискиОтзываСертификатов,Ресурс,СписокОтзыва,Список отзыва,; v8:ValueStorage,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СпискиОтзываСертификатов,Реквизит,ДатаПроверки,Дата проверки,; xs:dateTime,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СпискиОтзываСертификатов,Реквизит,ДатаПоследнегоИзменения,Дата последнего изменения,; xs:dateTime,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СпискиОтзываСертификатов,Реквизит,АдресСпискаОтзыва,Адрес списка отзыва,; xs:string,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СпискиОтзываСертификатов,Реквизит,ДатаНачалаДействия,Дата начала действия,; xs:dateTime,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СпискиОтзываСертификатов,Реквизит,ДатаОкончанияДействия,Дата окончания действия,; xs:dateTime,,,DontCheck,InformationRegisters/СпискиОтзываСертификатов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Измерение,РаспознанныйДокумент,Распознанный документ,; cfg:DocumentRef.РаспознанныйДокумент,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Измерение,ИмяРеквизита,Имя реквизита,; xs:string,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Измерение,ПорядковыйНомер,Порядковый номер,; xs:decimal,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Ресурс,Значение,Значение,; cfg:DefinedType.РаспознаваемыеРеквизитыДокументаБРД,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Ресурс,ДополнительноеЗначение,Дополнительное значение,; cfg:DefinedType.РаспознаваемыеРеквизитыДокументаБРД,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Ресурс,Уверенность,Уверенность,; xs:decimal,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораРеквизитовРаспознаваниеДокументов,Ресурс,НайденВТаблицеСоответствий,Найден в таблице соответствий,; xs:boolean,,,DontCheck,InformationRegisters/СписокВыбораРеквизитовРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Измерение,РаспознанныйДокумент,Распознанный документ,; cfg:DocumentRef.РаспознанныйДокумент,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Измерение,ТабличнаяЧасть,Табличная часть,; xs:string,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Измерение,НомерСтрокиТЧ,Номер строки ТЧ,; xs:decimal,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Измерение,ИмяРеквизита,Имя реквизита,; xs:string,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Измерение,ПорядковыйНомер,Порядковый номер,; xs:decimal,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Ресурс,Значение,Значение,; cfg:DefinedType.РаспознаваемыеРеквизитыДокументаБРД,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Ресурс,ДополнительноеЗначение,Дополнительное значение,; cfg:DefinedType.РаспознаваемыеРеквизитыДокументаБРД,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Ресурс,Уверенность,Уверенность,; xs:decimal,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СписокВыбораТабличныхЧастейРаспознаваниеДокументов,Ресурс,НайденВТаблицеСоответствий,Найден в таблице соответствий,; xs:boolean,,,DontCheck,InformationRegisters/СписокВыбораТабличныхЧастейРаспознаваниеДокументов.xml
Регистр сведений,СрокиХраненияПерсональныхДанных,Измерение,СрокХранения,Срок хранения,; xs:dateTime,,,DontCheck,InformationRegisters/СрокиХраненияПерсональныхДанных.xml
Регистр сведений,СрокиХраненияПерсональныхДанных,Измерение,Субъект,Субъект,; cfg:DefinedType.СубъектПерсональныхДанных,,,DontCheck,InformationRegisters/СрокиХраненияПерсональныхДанных.xml
Регистр сведений,СрокиХраненияПерсональныхДанных,Реквизит,Организация,Организация,; cfg:DefinedType.Организация,,,DontCheck,InformationRegisters/СрокиХраненияПерсональныхДанных.xml
Регистр сведений,СрокиХраненияПерсональныхДанных,Реквизит,Комментарий,Комментарий,; xs:string,,,DontCheck,InformationRegisters/СрокиХраненияПерсональныхДанных.xml
Регистр сведений,СтавкиДисконтирования,Измерение,Организация,Организация,; cfg:CatalogRef.Организации,,,DontCheck,InformationRegisters/СтавкиДисконтирования.xml
Регистр сведений,СтавкиДисконтирования,Измерение,Валюта,Валюта взаиморасчетов,; cfg:CatalogRef.Валюты,,,DontCheck,InformationRegisters/СтавкиДисконтирования.xml
Регистр сведений,СтавкиДисконтирования,Ресурс,СтавкаДисконтирования,"Ставка дисконтирования, %",; xs:decimal,Используется для приведения суммы кредиторской задолженности к дате приобретения и списания процентных расходов по рассрочке.,,DontCheck,InformationRegisters/СтавкиДисконтирования.xml
Регистр сведений,СтавкиКатегорийПодакцизныхТоваров,Измерение,КатегорияПодакцизногоТовара,Категория подакцизного товара,; cfg:CatalogRef.КатегорииПодакцизныхТоваров,,,ShowError,InformationRegisters/СтавкиКатегорийПодакцизныхТоваров.xml
Регистр сведений,СтавкиКатегорийПодакцизныхТоваров,Ресурс,Ставка,Ставка,; cfg:DefinedType.ДенежнаяСуммаНеотрицательная,,,DontCheck,InformationRegisters/СтавкиКатегорийПодакцизныхТоваров.xml
Регистр сведений,СтавкиНДСНоменклатуры,Измерение,Номенклатура,Номенклатура,; cfg:CatalogRef.Номенклатура,,,ShowError,InformationRegisters/СтавкиНДСНоменклатуры.xml
Регистр сведений,СтавкиНДСНоменклатуры,Измерение,Страна,Страна,; cfg:CatalogRef.СтраныМира,,,DontCheck,InformationRegisters/СтавкиНДСНоменклатуры.xml
Регистр сведений,СтавкиНДСНоменклатуры,Ресурс,СтавкаНДС,Ставка НДС,; cfg:CatalogRef.СтавкиНДС,,,ShowError,InformationRegisters/СтавкиНДСНоменклатуры.xml
Регистр сведений,СтатистикаКонфигурации,Измерение,ВидСтатистики,Вид статистики,; xs:decimal,,,DontCheck,InformationRegisters/СтатистикаКонфигурации.xml
Регистр сведений,СтатистикаКонфигурации,Измерение,ИдентификаторОбластиСтатистики,Идентификатор области статистики,; v8:UUID,,,DontCheck,InformationRegisters/СтатистикаКонфигурации.xml
Регистр сведений,СтатистикаКонфигурации,Измерение,ОперацияСтатистики,Операция статистики,; v8:UUID,,,DontCheck,InformationRegisters/СтатистикаКонфигурации.xml
Регистр сведений,СтатистикаКонфигурации,Ресурс,Значение,Значение,; xs:decimal,,,DontCheck,InformationRegisters/СтатистикаКонфигурации.xml
Регистр сведений,СтатистикаПозицийТорговыхПредложений,Измерение,ПрайсЛист,Прайс-лист,; cfg:DefinedType.ТорговоеПредложение,,,DontCheck,InformationRegisters/СтатистикаПозицийТорговыхПредложений.xml
Регистр сведений,СтатистикаПозицийТорговыхПредложений,Измерение,ИдентификаторКатегории,Идентификатор категории,; xs:string,,,DontCheck,InformationRegisters/СтатистикаПозицийТорговыхПредложений.xml
Регистр сведений,СтатистикаПозицийТорговыхПредложений,Ресурс,Количество,Количество,; xs:decimal,,,DontCheck,InformationRegisters/СтатистикаПозицийТорговыхПредложений.xml
Регистр сведений,СтатистикаСделокСКлиентами,Измерение,ЭтапПроцесса,Этап процесса,; cfg:CatalogRef.СостоянияПроцессов,Отображает текущий этап процесса продажи.,,DontCheck,InformationRegisters/СтатистикаСделокСКлиентами.xml
